51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
1.568,151.845,105.427,1.568,105.427,1.568,93.054,6.101,7.955,7.955,195.657,7.955,195.657,1.568,7.955,7.955,69.420,10.221,63.981,63.981,205.377,63.981,205.377,63.981,63.981,127.495,66.248,6.983,6.983,276.297,6.983,63.715,6.983,6.983,220.705,9.250,65.058,65.058,255.329,65.058,42.748,65.058,65.058,289.969,153.979,7.648,87.928,5.520,5.520,158.765,4.83,212.00,196.14,212.00
11.890,127.898,302.458,11.890,302.458,11.890,27.719,22.864,14.973,14.973,540.524,14.973,540.524,11.890,14.973,14.973,266.396,20.460,303.634,303.634,440.793,303.634,440.793,303.634,303.634,5.471,309.121,6.212,6.212,316.957,6.212,298.681,6.212,6.212,32.682,11.699,124.612,124.612,24.038,124.612,5.761,124.612,124.612,299.586,290.087,60.872,16.894,9.046,9.046,1.224,4.57,65.07,0.39,65.07
0.345,0.403,157.327,0.345,157.327,0.345,146.262,0.663,3.697,3.697,343.168,3.697,343.168,0.345,3.697,3.697,182.663,3.856,86.800,86.800,167.153,86.800,167.153,86.800,86.800,72.336,86.960,9.174,9.174,198.722,9.174,87.712,9.174,9.174,174.730,9.333,22.296,22.296,182.793,22.296,71.784,22.296,22.296,401.261,52.282,114.821,195.403,35.179,35.179,6.949,3.41,477.49,10.19,477.49
27.693,5.624,221.826,27.693,221.826,27.693,85.810,8.942,29.292,29.292,377.468,29.292,377.468,4.650,29.292,6.249,154.126,8.395,208.942,208.942,297.874,208.942,297.874,208.942,185.899,40.440,188.045,27.790,27.790,379.688,27.790,184.682,27.790,4.748,203.622,6.893,50.736,50.736,234.366,50.736,39.359,50.736,27.693,280.377,64.040,22.845,195.859,13.461,13.461,8.070,0.69,379.10,12.86,379.10
27.884,1.608,544.600,7.647,544.600,7.647,569.737,14.705,27.826,7.590,763.058,7.590,763.058,7.647,7.590,7.590,398.886,11.119,283.825,263.589,473.671,263.589,473.671,263.589,263.589,285.020,267.118,25.032,4.795,424.946,4.795,261.232,4.795,4.795,426.627,8.324,48.120,27.884,450.016,27.884,286.302,27.884,27.884,1253.643,63.851,153.194,83.375,35.720,35.720,63.731,0.05,470.07,7.95,470.07
8.225,7.647,239.755,8.225,239.755,8.225,57.353,15.816,12.099,12.099,296.820,12.099,296.820,8.225,12.099,12.099,121.262,15.894,221.596,221.596,468.877,221.596,468.877,221.596,221.596,25.338,225.392,4.927,4.927,267.571,4.927,219.224,4.927,4.927,69.988,8.723,85.694,85.694,72.358,85.694,24.012,85.694,85.694,203.953,199.479,46.310,172.007,44.366,44.366,49.856,11.71,270.69,14.97,270.69
2.981,8.225,91.409,2.981,91.409,2.981,30.309,5.732,9.971,9.971,365.900,9.971,365.900,2.981,9.971,9.971,205.223,11.347,86.552,86.552,235.895,86.552,235.895,86.552,86.552,7.648,87.928,5.520,5.520,168.110,5.520,87.290,5.520,5.520,85.566,6.896,97.433,97.433,89.394,97.433,8.574,97.433,97.433,243.180,228.159,18.254,157.514,30.174,30.174,4.105,2.07,151.08,3.70,151.08
3.436,2.981,124.629,3.436,124.629,3.436,81.568,6.607,11.083,11.083,126.088,11.083,126.088,3.436,11.083,11.083,24.992,12.668,90.440,90.440,185.064,90.440,185.064,90.440,90.440,44.385,92.025,5.226,5.226,262.066,5.226,91.280,5.226,5.226,183.629,6.811,142.051,142.051,209.252,142.051,38.465,142.051,142.051,150.945,332.837,28.591,290.214,5.299,5.299,9.583,10.95,184.74,29.29,184.74
127.898,3.436,237.715,9.094,237.715,9.094,34.618,17.486,132.465,132.465,158.173,13.660,158.173,9.094,13.660,13.660,21.954,17.857,352.118,352.118,320.338,233.314,320.338,233.314,233.314,17.712,237.510,123.976,123.976,302.761,5.172,231.904,5.172,5.172,76.177,9.368,246.702,246.702,82.941,127.898,12.084,127.898,127.898,74.284,298.398,7.096,133.240,151.414,151.414,7.466,2.94,484.80,7.59,484.80
0.403,1.568,72.289,0.403,72.289,0.403,118.117,0.775,9.349,9.349,169.318,9.349,169.318,0.403,9.349,9.349,72.612,9.535,16.709,16.709,165.249,16.709,165.249,16.709,16.709,60.872,16.894,9.046,9.046,205.984,9.046,19.802,9.046,9.046,216.730,9.232,125.554,125.554,245.258,125.554,59.077,125.554,125.554,251.601,294.742,46.800,584.358,9.753,9.753,6.430,64.12,130.81,12.10,130.81
5.624,11.890,191.298,5.624,191.298,5.624,61.849,10.814,9.579,9.579,356.992,9.579,356.992,5.624,9.579,9.579,181.333,12.174,169.271,169.271,236.273,169.271,236.273,169.271,169.271,26.498,171.866,4.612,4.612,206.161,4.612,170.227,4.612,4.612,72.125,7.207,60.299,60.299,64.542,60.299,28.608,60.299,60.299,269.680,140.400,36.224,386.836,6.803,6.803,13.772,5.36,419.18,9.97,419.18
1.608,0.345,51.942,1.608,51.942,1.608,28.565,3.093,9.861,9.861,51.532,9.861,51.532,1.608,9.861,9.861,19.543,10.603,47.460,47.460,128.757,47.460,128.757,47.460,47.460,14.285,48.203,6.928,6.928,85.402,6.928,51.906,6.928,6.928,47.728,7.670,121.012,121.012,44.031,121.012,10.535,121.012,121.012,62.393,283.821,30.432,166.261,15.852,7.795,8.461,196.14,92.05,11.08,92.05
9.920,27.693,274.791,9.920,274.791,9.920,26.222,19.075,11.754,11.754,138.940,11.754,138.940,9.920,11.754,11.754,11.951,16.332,275.898,275.898,203.776,275.898,203.776,275.898,275.898,13.638,280.476,5.446,5.446,271.930,5.446,276.763,5.446,5.446,20.590,10.023,62.882,62.882,4.845,62.882,9.677,62.882,62.882,51.812,145.551,36.242,240.031,4.951,4.951,8.412,0.39,505.16,13.66,505.16
31.427,9.920,75.467,0.109,75.467,0.109,44.085,0.210,35.973,35.973,314.192,4.655,314.192,0.109,4.655,4.655,154.536,4.705,92.270,92.270,211.576,60.952,211.576,60.952,60.952,16.749,61.002,41.045,41.045,249.374,9.727,66.832,9.727,9.727,174.685,9.778,62.745,62.745,203.046,31.427,20.504,31.427,31.427,215.370,73.775,18.364,94.714,9.808,9.808,4.833,10.19,204.65,9.35,204.65
